iter,best_fitness,best_raw_cost,best_penalty,x
1,9966482296886.053,12135.655812112456,9966482284750.396,"[0.4328380495536751, 0.5028434342622166, 0.02, 0.45, 0.8, 0.0015464697298283449]"
100,9966479385695.941,6215.258780918975,9966479379480.684,"[0.45, 0.5012125050067439, 0.0027145453794077666, 0.45, 0.8, 0.00041416317807468987]"
200,9966479385400.139,5919.454533064893,9966479379480.684,"[0.45, 0.4554945242798059, 0.002100867235062552, 0.45, 0.8, 0.00041791499239259336]"
300,9966479385363.83,5883.145673908032,9966479379480.684,"[0.45, 0.4534172759909287, 0.0020913066573957683, 0.45, 0.8, 0.00036295244271609804]"
400,9966479385335.76,5855.077100961153,9966479379480.684,"[0.45, 0.4504094997562571, 0.0020273298554582242, 0.45, 0.8, 0.0003607471775019638]"
500,9966479385334.254,5853.569365362031,9966479379480.684,"[0.45, 0.4500320219630759, 0.002026292918873432, 0.45, 0.8, 0.00036016409420466745]"
600,9966479385334.06,5853.377602927977,9966479379480.684,"[0.45, 0.4500093506726946, 0.0020251992540484196, 0.45, 0.8, 0.0003605525617455701]"
700,9966479385333.916,5853.232285828972,9966479379480.684,"[0.45, 0.45000348597741213, 0.0020253064195526584, 0.45, 0.8, 0.0003602342695612591]"
800,9966479385333.744,5853.060609506615,9966479379480.684,"[0.45, 0.45000161696865737, 0.002025073097262852, 0.45, 0.8, 0.0003600513468149518]"
900,9966479385333.723,5853.038601440412,9966479379480.684,"[0.45, 0.4500003397639513, 0.0020250724844530833, 0.45, 0.8, 0.00036001500458537016]"
1000,9966479385333.691,5853.008481775387,9966479379480.684,"[0.45, 0.45000021632205195, 0.0020250011321043225, 0.45, 0.8, 0.0003600002386717531]"
